month,message_count,active_user_count,active_ticker_count
2008-05-01,74,30,68
2008-06-01,741,51,335
2008-07-01,897,59,348
2008-08-01,1074,74,424
2008-09-01,3319,128,640
2008-10-01,6121,231,1184
2008-11-01,7650,269,1111
2008-12-01,10971,359,1375
2009-01-01,16279,526,1502
2009-02-01,21952,682,1662
2009-03-01,33902,1007,1727
2009-04-01,47302,1431,2300
2009-05-01,45855,1571,2491
2009-06-01,43856,1513,2710
2009-07-01,49052,1665,2653
2009-08-01,49105,1761,2691
2009-09-01,73241,2319,2744
2009-10-01,83586,2214,2909
2009-11-01,73587,2028,2768
2009-12-01,69837,2049,2884
2010-01-01,80665,2179,2912
2010-02-01,70954,2099,2843
2010-03-01,90495,2865,3083
2010-04-01,99589,3125,3247
2010-05-01,89487,3003,3075
2010-06-01,90904,2903,3054
2010-07-01,94436,2968,3154
2010-08-01,102504,3154,3343
2010-09-01,112681,3350,3487
2010-10-01,121544,3640,3624
2010-11-01,134285,3493,4974
2010-12-01,184201,4204,5993
2011-01-01,262280,5142,6130
2011-02-01,257386,5331,6080
2011-03-01,279161,6034,6157
2011-04-01,269757,5869,6121
2011-05-01,274837,5963,6149
2011-06-01,258304,6045,6083
2011-07-01,300128,6557,5448
2011-08-01,400695,6832,6592
2011-09-01,272134,6087,6282
2011-10-01,334918,6658,6492
2011-11-01,307022,6593,6387
2011-12-01,274302,6215,6687
2012-01-01,361629,7204,6914
2012-02-01,408920,8305,6842
2012-03-01,392872,8810,6587
2012-04-01,318296,8983,5420
2012-05-01,370150,10391,5843
2012-06-01,322265,9389,5225
2012-07-01,360925,9954,5438
2012-08-01,400402,10933,5852
2012-09-01,375986,10726,5298
2012-10-01,497684,11910,5421
2012-11-01,470342,11432,6055
2012-12-01,411018,10877,5896
2013-01-01,548796,12773,6019
2013-02-01,461946,11685,6099
2013-03-01,418876,10014,5898
2013-04-01,459241,9847,6112
2013-05-01,514049,10368,6370
2013-06-01,453095,9409,6111
2013-07-01,491598,10257,6187
2013-08-01,572546,11699,6391
2013-09-01,599887,12005,6098
2013-10-01,758688,13855,6366
2013-11-01,746757,14387,6576
2013-12-01,740161,14016,6450
2014-01-01,985165,17269,6700
2014-02-01,833754,17504,6667
2014-03-01,1001786,19476,6772
2014-04-01,876556,18032,6827
2014-05-01,803099,16936,6822
2014-06-01,809300,16988,6727
2014-07-01,946218,18627,6914
2014-08-01,933105,19033,7050
2014-09-01,1052419,20496,6957
2014-10-01,1232615,21283,7172
2014-11-01,969152,20266,7190
2014-12-01,992061,20311,7056
2015-01-01,1188929,22529,7221
2015-02-01,1213424,24645,7158
2015-03-01,1375078,25400,7166
2015-04-01,1309454,25038,7124
2015-05-01,1289567,25112,7307
2015-06-01,1346044,25939,7183
2015-07-01,1471566,27994,7332
2015-08-01,1381957,29060,7582
2015-09-01,1180398,26789,7182
2015-10-01,1275208,27934,7129
2015-11-01,1246462,29310,7272
2015-12-01,1356863,29694,7338
2016-01-01,1366618,30324,7062
2016-02-01,1380397,30162,7308
2016-03-01,1572905,33036,7291
2016-04-01,1771532,35879,7407
2016-05-01,1753275,35354,8724
2016-06-01,1778144,36119,8127
2016-07-01,1735998,37931,8718
2016-08-01,2066775,42240,7722
2016-09-01,1927412,41744,7527
2016-10-01,1988513,42436,7498
2016-11-01,2123122,44640,7502
2016-12-01,2275448,44927,7473
2017-01-01,2442446,48869,7689
2017-02-01,2469970,52745,7644
2017-03-01,2953151,57290,7643
2017-04-01,2428200,53023,7481
2017-05-01,2876945,56921,7721
2017-06-01,2850743,57767,7749
2017-07-01,2649716,56510,7842
2017-08-01,3035247,59759,8173
2017-09-01,2564403,56576,8111
2017-10-01,3095399,61707,8188
2017-11-01,3354990,66875,8302
2017-12-01,3630754,68269,8508
2018-01-01,3915974,73705,8501
2018-02-01,3315473,67588,8424
2018-03-01,3562082,67530,8524
2018-04-01,3228620,62663,8362
2018-05-01,3455257,65196,8529
2018-06-01,3291893,64112,8834
2018-07-01,3171657,64003,8397
2018-08-01,3553725,67956,8636
2018-09-01,3383557,68948,8598
2018-10-01,3948231,74934,8542
2018-11-01,3053560,69923,8271
2018-12-01,2572638,58398,8403
2019-01-01,2818873,61670,8190
2019-02-01,2899570,64300,8273
2019-03-01,3464892,69414,8332
2019-04-01,3310695,70267,8301
2019-05-01,3417944,69794,8584
2019-06-01,3058650,66924,8521
2019-07-01,3149228,67624,8447
2019-08-01,3354013,69094,8477
2019-09-01,2962001,77716,8286
2019-10-01,2943667,67164,8259
2019-11-01,3111716,69974,8559
2019-12-01,3082530,71393,9205
2020-01-01,4106949,85089,8853
2020-02-01,4444503,92593,8528
2020-03-01,6157936,114728,8684
2020-04-01,5665101,125590,8445
2020-05-01,6117616,146439,8857
2020-06-01,7201515,170435,9059
2020-07-01,6780540,176846,9606
2020-08-01,6695549,171232,9840
2020-09-01,5639580,153014,9371
2020-10-01,5241678,147108,9282
2020-11-01,5735504,163429,9667
2020-12-01,7086123,175242,9834
2021-01-01,10995809,256278,10809
2021-02-01,13480011,311161,11525
2021-03-01,11955746,273139,12765
2021-04-01,10299510,250913,12644
2021-05-01,10480107,255446,12365
2021-06-01,12111028,255787,12573
2021-07-01,11036526,229710,13764
2021-08-01,11504808,235335,13995
2021-09-01,10783419,232433,13586
2021-10-01,12563696,244742,13944
2021-11-01,12629090,253263,14654
2021-12-01,10159560,220687,14446
2022-01-01,9305506,210912,14137
2022-02-01,7622893,189761,13791
2022-03-01,8542842,249349,13902
2022-04-01,6743203,172268,14095
2022-05-01,6852367,171620,14905
2022-06-01,5975243,153587,14497
2022-07-01,5295309,146786,14416
2022-08-01,7032821,172711,15956
2022-09-01,5363097,141296,15372
2022-10-01,4940455,133883,15298
2022-11-01,5200404,148819,15578
2022-12-01,4663730,127601,15098
2023-01-01,4977573,131204,15376
2023-02-01,4870048,138376,15489
2023-03-01,5782228,151933,15955
2023-04-01,4138055,121955,15077
